CountryCode,CO2YR2006,CO2YR2007,CO2YR2008,CO2YR2009,CO2YR2010,CO2YR2011,2012 [YR2012],2013 [YR2013],2014 [YR2014],FAYR2006,FAYR2007,FAYR2008,FAYR2009,FAYR2010,FAYR2011,2012 [YR2012],2013 [YR2013],2014 [YR2014]
,,,,,,,,,,,,,,,,,,
ARG,4.404525042,4.496833655,4.744178401,4.427960113,4.342272052,4.562048512,,,,298680,295500,292320,289140,285960,282992,280024,277056,
,,,,,,,,,,,,,,,,,,
AUS,17.29387382,17.46700225,17.70407968,17.63183305,16.71090435,16.51920992,,,,1267550,1258690,1249830,1240970,1232110,1235190,1238270,1241350,
,,,,,,,,,,,,,,,,,,
BRA,1.823133072,1.884034471,1.990428942,1.866522375,2.113414545,2.191393564,,,,5050788,5034236,5017684,5001132,4984580,4974740,4964900,4955060,
,,,,,,,,,,,,,,,,,,
CHN,4.892727098,5.153564017,5.311151855,5.778143184,6.172488876,6.710301991,,,,1945571.8,1960704.6,1975837.4,1990970.2,2006100,2021525,2036947,2052369,
,,,,,,,,,,,,,,,,,,
FRA,5.995893723,5.856547408,5.774521922,5.511405389,5.496706655,5.185043424,,,,159736,160862,161988,163114,164240,165370,166500,167630,
,,,,,,,,,,,,,,,,,,
DEU,9.782471109,9.489020532,9.525658763,8.803954839,9.179816838,8.917832846,,,,113890,113940,113990,114040,114090,114110,114130,114150,
,,,,,,,,,,,,,,,,,,
IND,1.294535658,1.365786853,1.497886363,1.619048654,1.584869945,1.662873483,,,,681252,685414,689576,693738,697900,699684,701468,703252,
,,,,,,,,,,,,,,,,,,
IDN,1.505337668,1.616659186,1.752149102,1.90009103,1.80860092,2.303780983,,,,971720,964870,958020,951170,944320,937476,930632,923788,
,,,,,,,,,,,,,,,,,,
ITA,8.072145596,7.917347216,7.60176497,6.795651486,6.83837457,6.702557614,,,,88128,88666,89204,89742,90280,90818,91356,91894,
,,,,,,,,,,,,,,,,,,
JPN,9.62737359,9.771475965,9.4229613,8.598621998,9.127185047,9.291834303,,,,249412,249474,249536,249598,249660,249644,249628,249612,
,,,,,,,,,,,,,,,,,,
MEX,3.99784272,4.055762037,4.126988108,3.857149599,3.752090816,3.876107611,,,,669660,668490,667320,666150,664980,664064,663148,662232,
,,,,,,,,,,,,,,,,,,
NLD,10.22316313,10.46844735,10.52945151,10.24561928,10.94931628,10.06448974,,,,3666,3682,3698,3714,3730,3736,3742,3748,
,,,,,,,,,,,,,,,,,,
RUS,11.67160861,11.67743817,12.01913064,11.02611624,12.19843743,12.64732823,,,,8100591.2,8113282.4,8125973.6,8138664.8,8151360,8150945.8,8150535.6,8150125.4,
,,,,,,,,,,,,,,,,,,
SAU,17.02356826,15.08749877,15.63931332,17.69022548,18.97762597,18.07245072,,,,9770,9770,9770,9770,9770,9770,9770,9770,
,,,,,,,,,,,,,,,,,,
ESP,7.88419571,7.920890716,7.16545181,6.216973378,5.815786526,5.790764234,,,,174751.1,176681.3,178611.6,180541.8,182470,182813.3,183154.7,183496,
,,,,,,,,,,,,,,,,,,
CHE,5.595605199,5.034944631,5.281605848,5.372291182,4.952499256,4.625229924,,,,12206,12242,12278,12314,12350,12388,12426,12464,
,,,,,,,,,,,,,,,,,,
TUR,3.807813745,4.094888791,4.055396583,3.898959122,4.121154855,4.383104516,,,,107702,108784,109866,110948,112030,113054,114078,115102,
,,,,,,,,,,,,,,,,,,
GBR,8.8973241,8.615489319,8.4377732,7.598999603,7.841653312,7.085732086,,,,30286,30362,30438,30514,30590,30760,30930,31100,
,,,,,,,,,,,,,,,,,,
USA,19.11613882,19.23746045,18.48923375,17.1923791,17.48479218,17.02021634,,,,3055496,3063422,3071348,3079274,3087200,3089950,3092700,3095450,
,,,,,,,,,,,,,,,,,,
AFG,0.065815968,0.088141054,0.158961558,0.24907353,0.302936388,0.425262105,,,,13500,13500,13500,13500,13500,13500,13500,13500,
,,,,,,,,,,,,,,,,,,
ALB,1.291547969,1.507535815,1.580113283,1.533178094,1.515632053,1.60703771,,,,7811.8,7799.6,7787.4,7775.2,7760,7753.4,7743.8,7734.2,
,,,,,,,,,,,,,,,,,,
DZA,2.990267154,3.189978037,3.205182841,3.428471639,3.309911831,3.316037892,,,,16124,16888,17652,18416,19180,19256,19332,19408,
,,,,,,,,,,,,,,,,,,
ASM,,,,,,,,,,178.5,178.1,177.8,177.5,180,176.8,176.4,176.1,
,,,,,,,,,,,,,,,,,,
ADO,6.553476545,6.350868305,6.296124556,6.049172848,6.12477049,5.96868547,,,,160,160,160,160,160,160,160,160,
,,,,,,,,,,,,,,,,,,
AGO,1.200877147,1.311096483,1.369424769,1.430873373,1.401654169,1.35400753,,,,589792,588544,587296,586048,584800,583552,582304,581056,
,,,,,,,,,,,,,,,,,,
ATG,5.096289552,5.561524699,5.628318688,5.906292005,6.011268671,5.823804338,,,,98,98,98,98,100,98,98,98,
,,,,,,,,,,,,,,,,,,
ARB,4.285594793,4.181153482,4.373573347,4.57525129,4.76491188,4.724499697,,,,469645.3,468612.2,467578.9,466545.8,465520,391507,389071.4,386635.8,
,,,,,,,,,,,,,,,,,,
ARM,1.459636908,1.694755259,1.868611029,1.469960972,1.422998378,1.671656923,,,,3318,3316,3314,3312,3310,3312,3314,3316,
,,,,,,,,,,,,,,,,,,
ABW,24.76670634,25.61371495,24.75013321,24.87670585,24.18270225,23.9224121,,,,4.2,4.2,4.2,4.2,0,4.2,4.2,4.2,
,,,,,,,,,,,,,,,,,,
AUT,8.733506631,8.405092793,8.262046031,7.608851293,8.127692863,7.769983423,,,,38528,38546,38564,38582,38600,38618,38636,38654,
,,,,,,,,,,,,,,,,,,
AZE,4.616299863,3.5553401,4.051383481,3.565668218,3.388225879,3.647379147,,,,9034.2,9296.4,9558.6,9820.8,10080,10345.2,10607.4,10869.6,
,,,,,,,,,,,,,,,,,,
BHR,20.01475859,21.44329552,21.51999548,18.13623374,18.43502476,17.94732981,,,,4.6,4.8,4.9,5.1,10,5.4,5.6,5.7,
,,,,,,,,,,,,,,,,,,
BGD,0.332345776,0.319840389,0.334439662,0.352155282,0.370359878,0.372017166,,,,14524,14498,14472,14446,14420,14394,14368,14342,
,,,,,,,,,,,,,,,,,,
BRB,4.986394706,5.178740847,5.871114076,5.833678079,5.430338453,5.580177618,,,,63,63,63,63,60,63,63,63,
,,,,,,,,,,,,,,,,,,
BLR,6.437868284,6.305628975,6.592748741,6.341938992,6.556549631,6.682510398,,,,84556,84752,84948,85144,85340,85539,85738,85937,
,,,,,,,,,,,,,,,,,,
BEL,10.12287933,9.71371759,9.699598963,9.634775755,9.989975524,8.849398302,,,,6756,6770,6784,6798,6810,6816.4,6820.8,6825.2,
,,,,,,,,,,,,,,,,,,
BLZ,1.488235638,1.536093806,1.473195826,1.495185156,1.721708659,1.670904302,,,,14115,14064.7,14014.5,13964.2,13910,13863.7,13813.5,13763.4,
,,,,,,,,,,,,,,,,,,
BEN,0.458607507,0.516298739,0.500183373,0.514277812,0.541771234,0.509962226,,,,47610,47110,46610,46110,45610,45110,44610,44110,
,,,,,,,,,,,,,,,,,,
BMU,8.070207523,7.968299223,5.955019687,7.095328783,7.320035624,6.07721021,,,,10,10,10,10,10,10,10,10,
,,,,,,,,,,,,,,,,,,
BTN,0.588329935,0.575767714,0.606778515,0.549145981,0.677145031,0.766205619,,,,26655.8,26755,26854.3,26953.6,27050,27152.2,27251.5,27350.8,
,,,,,,,,,,,,,,,,,,
BOL,1.586749065,1.318203858,1.412189336,1.459841011,1.547659087,1.599499039,,,,582290,577240,572190,567140,562090,559200,556310,553420,
,,,,,,,,,,,,,,,,,,
BIH,4.575983248,4.580386562,5.231546645,5.37188996,5.513993843,6.19665215,,,,21850,21850,21850,21850,21850,21850,21850,21850,
,,,,,,,,,,,,,,,,,,
BWA,2.450894169,2.435256168,2.530551369,2.192294586,2.555293381,2.323345006,,,,118246,117062,115878,114694,113510,112488,111466,110444,
,,,,,,,,,,,,,,,,,,
BRN,11.60411517,24.17840939,26.33827137,22.14902862,21.8732221,24.39201338,,,,3872,3854,3836,3818,3800,3800,3800,3800,
,,,,,,,,,,,,,,,,,,
BGR,6.357101164,6.916687364,6.778939404,5.729715977,5.966883548,6.71438251,,,,36682,36854,37026,37198,37370,37542,37714,37886,
,,,,,,,,,,,,,,,,,,
