CountryCode,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,2013[YR2013],2014[YR2014],"2015[YR2015]
"
,,,,,,,,,,
ARG,4.404525042,4.496833655,4.744178401,4.427960113,4.342272052,4.562048512,,,,
,,,,,,,,,,
AUS,17.29387382,17.46700225,17.70407968,17.63183305,16.71090435,16.51920992,,,,
,,,,,,,,,,
BRA,1.823133072,1.884034471,1.990428942,1.866522375,2.113414545,2.191393564,,,,
,,,,,,,,,,
CHN,4.892727098,5.153564017,5.311151855,5.778143184,6.172488876,6.710301991,,,,
,,,,,,,,,,
FRA,5.995893723,5.856547408,5.774521922,5.511405389,5.496706655,5.185043424,,,,
,,,,,,,,,,
DEU,9.782471109,9.489020532,9.525658763,8.803954839,9.179816838,8.917832846,,,,
,,,,,,,,,,
IND,1.294535658,1.365786853,1.497886363,1.619048654,1.584869945,1.662873483,,,,
,,,,,,,,,,
IDN,1.505337668,1.616659186,1.752149102,1.90009103,1.80860092,2.303780983,,,,
,,,,,,,,,,
ITA,8.072145596,7.917347216,7.60176497,6.795651486,6.83837457,6.702557614,,,,
,,,,,,,,,,
JPN,9.62737359,9.771475965,9.4229613,8.598621998,9.127185047,9.291834303,,,,
,,,,,,,,,,
MEX,3.99784272,4.055762037,4.126988108,3.857149599,3.752090816,3.876107611,,,,
,,,,,,,,,,
NLD,10.22316313,10.46844735,10.52945151,10.24561928,10.94931628,10.06448974,,,,
,,,,,,,,,,
RUS,11.67160861,11.67743817,12.01913064,11.02611624,12.19843743,12.64732823,,,,
,,,,,,,,,,
SAU,17.02356826,15.08749877,15.63931332,17.69022548,18.97762597,18.07245072,,,,
,,,,,,,,,,
ESP,7.88419571,7.920890716,7.16545181,6.216973378,5.815786526,5.790764234,,,,
,,,,,,,,,,
CHE,5.595605199,5.034944631,5.281605848,5.372291182,4.952499256,4.625229924,,,,
,,,,,,,,,,
TUR,3.807813745,4.094888791,4.055396583,3.898959122,4.121154855,4.383104516,,,,
,,,,,,,,,,
GBR,8.8973241,8.615489319,8.4377732,7.598999603,7.841653312,7.085732086,,,,
,,,,,,,,,,
USA,19.11613882,19.23746045,18.48923375,17.1923791,17.48479218,17.02021634,,,,
,,,,,,,,,,
AFG,0.065815968,0.088141054,0.158961558,0.24907353,0.302936388,0.425262105,,,,
,,,,,,,,,,
ALB,1.291547969,1.507535815,1.580113283,1.533178094,1.515632053,1.60703771,,,,
,,,,,,,,,,
DZA,2.990267154,3.189978037,3.205182841,3.428471639,3.309911831,3.316037892,,,,
,,,,,,,,,,
ASM,,,,,,,,,,
,,,,,,,,,,
ADO,6.553476545,6.350868305,6.296124556,6.049172848,6.12477049,5.96868547,,,,
,,,,,,,,,,
AGO,1.200877147,1.311096483,1.369424769,1.430873373,1.401654169,1.35400753,,,,
,,,,,,,,,,
ATG,5.096289552,5.561524699,5.628318688,5.906292005,6.011268671,5.823804338,,,,
,,,,,,,,,,
ARB,4.285594793,4.181153482,4.373573347,4.57525129,4.76491188,4.724499697,,,,
,,,,,,,,,,
ARM,1.459636908,1.694755259,1.868611029,1.469960972,1.422998378,1.671656923,,,,
,,,,,,,,,,
ABW,24.76670634,25.61371495,24.75013321,24.87670585,24.18270225,23.9224121,,,,
,,,,,,,,,,
AUT,8.733506631,8.405092793,8.262046031,7.608851293,8.127692863,7.769983423,,,,
,,,,,,,,,,
AZE,4.616299863,3.5553401,4.051383481,3.565668218,3.388225879,3.647379147,,,,
,,,,,,,,,,
BHR,20.01475859,21.44329552,21.51999548,18.13623374,18.43502476,17.94732981,,,,
,,,,,,,,,,
BGD,0.332345776,0.319840389,0.334439662,0.352155282,0.370359878,0.372017166,,,,
,,,,,,,,,,
BRB,4.986394706,5.178740847,5.871114076,5.833678079,5.430338453,5.580177618,,,,
,,,,,,,,,,
BLR,6.437868284,6.305628975,6.592748741,6.341938992,6.556549631,6.682510398,,,,
,,,,,,,,,,
BEL,10.12287933,9.71371759,9.699598963,9.634775755,9.989975524,8.849398302,,,,
,,,,,,,,,,
BLZ,1.488235638,1.536093806,1.473195826,1.495185156,1.721708659,1.670904302,,,,
,,,,,,,,,,
BEN,0.458607507,0.516298739,0.500183373,0.514277812,0.541771234,0.509962226,,,,
,,,,,,,,,,
BMU,8.070207523,7.968299223,5.955019687,7.095328783,7.320035624,6.07721021,,,,
,,,,,,,,,,
